"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Code\Tourney\src\App.js", "JavaScript", 75, 0, 0, 45, 120
"c:\Code\Tourney\src\Create.css", "CSS", 0, 89, 1, 14, 104
"c:\Code\Tourney\src\Create.js", "JavaScript", 232, 0, 13, 96, 341
"c:\Code\Tourney\src\CreateDecider.js", "JavaScript", 47, 0, 2, 20, 69
"c:\Code\Tourney\src\Game.css", "CSS", 0, 113, 0, 24, 137
"c:\Code\Tourney\src\Game.js", "JavaScript", 196, 0, 5, 66, 267
"c:\Code\Tourney\src\Host.css", "CSS", 0, 30, 0, 4, 34
"c:\Code\Tourney\src\Host.js", "JavaScript", 107, 0, 0, 45, 152
"c:\Code\Tourney\src\Made.css", "CSS", 0, 20, 0, 4, 24
"c:\Code\Tourney\src\Made.js", "JavaScript", 64, 0, 4, 23, 91
"c:\Code\Tourney\src\Menu.js", "JavaScript", 87, 0, 0, 33, 120
"c:\Code\Tourney\src\PostQ.js", "JavaScript", 20, 0, 0, 6, 26
"c:\Code\Tourney\src\PreHost.css", "CSS", 0, 65, 2, 15, 82
"c:\Code\Tourney\src\PreHost.js", "JavaScript", 137, 0, 3, 52, 192
"c:\Code\Tourney\src\Question.js", "JavaScript", 65, 0, 0, 24, 89
"c:\Code\Tourney\src\RankTable.js", "JavaScript", 40, 0, 4, 12, 56
"c:\Code\Tourney\src\Ranking.js", "JavaScript", 56, 0, 6, 29, 91
"c:\Code\Tourney\src\app.css", "CSS", 0, 189, 4, 38, 231
"c:\Code\Tourney\src\bracket.js", "JavaScript", 47, 0, 3, 27, 77
"c:\Code\Tourney\src\firebase.js", "JavaScript", 13, 0, 19, 13, 45
"c:\Code\Tourney\src\index.js", "JavaScript", 15, 0, 4, 4, 23
"Total", "-", 1201, 506, 70, 594, 2371
